experiment_id,method,case_index,system_id,rollout_index,seed,source_sdf,source_sha256,load_ok,valid,fully_connected_valid,condition_evaluable,condition_match,pb_evaluable,pb_valid,conditioned_pb_valid,strain_evaluable,strain_energy_kcal_mol,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,error,runtime_seconds
20260723-03-official-metrics-reevaluation,coordinate_only,0,6pvz__1__1.A__1.C,0,2026072300,outputs/20260723-01-oracle-mask-repair-pilot/repairs/6pvz__1__1.A__1.C/seed_2026072300.sdf,09e68cf28ae1576022a7b39aa62c07446acb1397e676f4885e28d064bc95b27a,True,True,True,True,True,True,True,True,True,10.605425676697848,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.3263569138944149
20260723-03-official-metrics-reevaluation,official_inpainting,0,6pvz__1__1.A__1.C,0,2026072300,outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072300.sdf,0d24318faa1d071fe0fdf0d063b23d38ef0cdfd06eb75ae6265a75d812903ec9,True,True,True,True,True,True,False,False,True,114.40361930294354,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.18036996480077505
20260723-03-official-metrics-reevaluation,coordinate_only,0,6pvz__1__1.A__1.C,1,2026072301,outputs/20260723-01-oracle-mask-repair-pilot/repairs/6pvz__1__1.A__1.C/seed_2026072301.sdf,74e3ed18a123936ad546b3d5adc6ed48594b34590906cae40bba1e3de8e0ad33,True,True,True,True,True,True,True,True,True,9.741501669488628,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.20618184376507998
20260723-03-official-metrics-reevaluation,official_inpainting,0,6pvz__1__1.A__1.C,1,2026072301,outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072301.sdf,0f1d24ce7f441b7b2fdc00738ebdccc0c5b2adc2a396069101c1d81b625b2b51,True,True,True,True,True,True,True,True,True,40.937053262010835,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.18204481899738312
20260723-03-official-metrics-reevaluation,coordinate_only,0,6pvz__1__1.A__1.C,2,2026072302,outputs/20260723-01-oracle-mask-repair-pilot/repairs/6pvz__1__1.A__1.C/seed_2026072302.sdf,255e59dbdb6acfa3eb675d22fd646f281100d9a9430caf51b07b6f8d9883c221,True,True,True,True,True,True,True,True,True,10.368424728818752,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.18495399970561266
20260723-03-official-metrics-reevaluation,official_inpainting,0,6pvz__1__1.A__1.C,2,2026072302,outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072302.sdf,52dc14e1220454829198f4d31a676adb9b8836f98e5cc97b558a5cca760aac2e,True,True,True,True,True,True,True,True,True,58.846900118963546,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.18837245739996433
20260723-03-official-metrics-reevaluation,coordinate_only,0,6pvz__1__1.A__1.C,3,2026072303,outputs/20260723-01-oracle-mask-repair-pilot/repairs/6pvz__1__1.A__1.C/seed_2026072303.sdf,043dd26095bcc6eaa445e2594b4ceac6626c4f6ae4ca073c87f08290192df497,True,True,True,True,True,True,True,True,True,11.590210946361353,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.1840759813785553
20260723-03-official-metrics-reevaluation,official_inpainting,0,6pvz__1__1.A__1.C,3,2026072303,outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072303.sdf,093961fe5456d5c877c696a8f24fa1492c3ca4afe5408df7b0cd6d532f1d4367,True,True,True,True,True,True,True,True,True,53.987172918007445,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.22175271809101105
20260723-03-official-metrics-reevaluation,coordinate_only,0,6pvz__1__1.A__1.C,4,2026072304,outputs/20260723-01-oracle-mask-repair-pilot/repairs/6pvz__1__1.A__1.C/seed_2026072304.sdf,ca4b5bb52f55088d97e907f303dcf6eaf5485b221edc2f22a622b2cc9eb51e01,True,True,True,True,True,True,True,True,True,11.562732046375956,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.1924595618620515
20260723-03-official-metrics-reevaluation,official_inpainting,0,6pvz__1__1.A__1.C,4,2026072304,outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072304.sdf,d17837a1416d15d692927d9da32bb994b2404e9a78cfdf69e7c34dc18c1b16a1,True,True,True,True,True,True,False,False,True,133.2090356620497,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.1832667449489236
